key,name,date,value
7,Hermosa,1994,1281642
7,Hermosa,1995,1913940
7,Hermosa,1996,2216789
7,Hermosa,1997,2043571
7,Hermosa,1998,1322349
7,Hermosa,1999,1255329
7,Hermosa,2000,1742293
7,Hermosa,2001,2117216
8,Humboldt Park,1990,1759288
8,Humboldt Park,1991,1973597
8,Humboldt Park,1992,1799493
8,Humboldt Park,1993,1671437
8,Humboldt Park,1994,2003509
8,Humboldt Park,1995,2511714
8,Humboldt Park,1996,3140736
8,Humboldt Park,1997,3167417
8,Humboldt Park,1998,2129202
8,Humboldt Park,1999,1879968
8,Humboldt Park,2000,2578552
8,Humboldt Park,2001,3370589
1,Hyde Park,1990,696859
1,Hyde Park,1991,661764
1,Hyde Park,1992,613670
1,Hyde Park,1993,600735
1,Hyde Park,1994,706892
1,Hyde Park,1995,1018036
1,Hyde Park,1996,1294581
1,Hyde Park,1997,1234294
1,Hyde Park,1998,784263
1,Hyde Park,1999,671283
1,Hyde Park,2000,886185
1,Hyde Park,2001,1080036
3,Irving Park,1990,2870592
3,Irving Park,1991,2767799
3,Irving Park,1992,2557179
3,Irving Park,1993,2606972
3,Irving Park,1994,3532198
3,Irving Park,1995,5622579
3,Irving Park,1996,6270110
3,Irving Park,1997,4675439
3,Irving Park,1998,3082379
3,Irving Park,1999,3078598
3,Irving Park,2000,4453531
3,Irving Park,2001,4951889
2,Jefferson Park,1990,2549070
2,Jefferson Park,1991,2542396
2,Jefferson Park,1992,2481132
2,Jefferson Park,1993,2622873
2,Jefferson Park,1994,3648875
2,Jefferson Park,1995,6013941
2,Jefferson Park,1996,6124391
2,Jefferson Park,1997,4063358
2,Jefferson Park,1998,2698141
2,Jefferson Park,1999,2909653
2,Jefferson Park,2000,4322171
2,Jefferson Park,2001,3978219
2,Kenwood,1990,624003
2,Kenwood,1991,593029
2,Kenwood,1992,516171
2,Kenwood,1993,504962
2,Kenwood,1994,650909
2,Kenwood,1995,838983
2,Kenwood,1996,1066496
2,Kenwood,1997,1073976
2,Kenwood,1998,742218
2,Kenwood,1999,593656
2,Kenwood,2000,715098
2,Kenwood,2001,931289
0,Lakeview,1990,2101198
0,Lakeview,1991,2137946
0,Lakeview,1992,2024097
0,Lakeview,1993,1978370
0,Lakeview,1994,2688777
0,Lakeview,1995,4159693
0,Lakeview,1996,4658931
0,Lakeview,1997,3739785
0,Lakeview,1998,2593883
0,Lakeview,1999,2368829
0,Lakeview,2000,3095035
0,Lakeview,2001,3684115
0,Lincoln Park,1990,1993904
0,Lincoln Park,1991,2001910
0,Lincoln Park,1992,1848906
0,Lincoln Park,1993,1805255
0,Lincoln Park,1994,2362761
0,Lincoln Park,1995,3223562
0,Lincoln Park,1996,3851449
0,Lincoln Park,1997,3552024
0,Lincoln Park,1998,2448395
0,Lincoln Park,1999,2212196
0,Lincoln Park,2000,2687794
0,Lincoln Park,2001,3310945
1,Lincoln Square,1990,1286630
1,Lincoln Square,1991,1300335
1,Lincoln Square,1992,1238987
1,Lincoln Square,1993,1296068
1,Lincoln Square,1994,1752056
1,Lincoln Square,1995,2732636
1,Lincoln Square,1996,2809047
1,Lincoln Square,1997,2129213
1,Lincoln Square,1998,1460644
1,Lincoln Square,1999,1442449
1,Lincoln Square,2000,2116281
1,Lincoln Square,2001,2173869
2,Logan Square,1990,2007145
2,Logan Square,1991,1982890
2,Logan Square,1992,1913764
2,Logan Square,1993,1815902
2,Logan Square,1994,2310636
2,Logan Square,1995,3398410
2,Logan Square,1996,3999605
2,Logan Square,1997,3758546
2,Logan Square,1998,2405807
2,Logan Square,1999,2329500
2,Logan Square,2000,2857834
2,Logan Square,2001,3437790
0,Loop,1990,690
0,Loop,1991,887
0,Loop,1992,1248
0,Loop,1993,881
0,Loop,1994,1724
0,Loop,1995,1910
0,Loop,1996,2020
0,Loop,1997,1439
0,Loop,1998,620
0,Loop,1999,371
0,Loop,2000,2386
0,Loop,2001,1112
7,Lower West Side,1990,521532
7,Lower West Side,1991,616947
7,Lower West Side,1992,596923
7,Lower West Side,1993,565018
7,Lower West Side,1994,639652
7,Lower West Side,1995,766717
7,Lower West Side,1996,1116455
7,Lower West Side,1997,1114392
7,Lower West Side,1998,870985
7,Lower West Side,1999,675927
7,Lower West Side,2000,793960
7,Lower West Side,2001,1099381
6,McKinley Park,1990,645935
6,McKinley Park,1991,744021
6,McKinley Park,1992,731429
6,McKinley Park,1993,654422
6,McKinley Park,1994,706977
6,McKinley Park,1995,942661
6,McKinley Park,1996,1405489
6,McKinley Park,1997,1442676
6,McKinley Park,1998,1031942
6,McKinley Park,1999,761028
6,McKinley Park,2000,926182
6,McKinley Park,2001,1177515
5,Montclare,1990,1087214
